source,report_title,report_date,exhibit,group,match_day,date,home_team,away_team,home_goals,away_goals,scoreline,result_type,market_type,stage,extraction_method,notes
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,A,1,11-Jun,Mexico,South Africa,2,0,2-0,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,A,1,11-Jun,South Korea,Czechia,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,A,2,18-Jun,Czechia,South Africa,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,A,2,18-Jun,Mexico,South Korea,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,A,3,24-Jun,Czechia,Mexico,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,A,3,24-Jun,South Africa,South Korea,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,B,1,12-Jun,Canada,Bosnia and H.,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,B,1,13-Jun,Qatar,Switzerland,0,2,0-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,B,2,18-Jun,Switzerland,Bosnia and H.,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,B,2,18-Jun,Canada,Qatar,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
